OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,1408,533,988,461,423,171,188,874,23,128
+,1194,240,677,257,963,761,717,767,81,215
+,1279,406,105,97,65,959,899,484,561,55
+,309,789,406,536,783,85,106,268,632,159
+,183,670,953,906,399,316,234,253,755,290
+,369,641,129,134,539,858,174,29,35,679
+,232,881,937,333,884,487,478,998,891,553
+,1106,278,561,455,138,992,971,714,552,181
+,1256,611,467,646,766,651,898,577,445,536
+,1378,654,546,317,930,355,493,552,232,824
+,289,452,315,374,422,266,159,310,10,0
+,1335,834,776,868,139,352,293,480,547,8
+,537,944,503,969,773,488,306,9,784,440
+,603,299,611,236,815,7,561,382,193,421
+,900,574,447,404,255,167,732,754,661,399
+,902,387,225,269,81,432,640,245,529,782
+,1081,931,627,826,710,701,278,291,664,760
+,196,828,275,422,192,873,70,186,139,296
+,1123,652,466,632,463,278,717,637,503,192
+,1396,19,155,50,992,547,22,190,995,104
+,122,275,128,732,448,744,8,238,92,154
+,1148,505,222,350,430,319,804,818,510,380
+,197,713,810,32,338,82,863,768,974,149
+,1440,272,794,401,73,556,481,185,196,917
+,1105,256,836,390,848,12,124,997,786,731
+,1334,394,789,998,453,253,755,34,203,471
+,1345,789,96,533,681,213,484,398,697,984
+,277,958,330,162,644,745,43,762,959,562
+,464,125,259,492,653,305,203,369,908,53
+,1017,682,223,996,115,241,648,444,332,15
+,871,813,282,598,122,405,808,248,9,992
+,1496,595,802,707,486,704,610,158,380,789
+,943,254,161,511,93,702,633,346,953,992
+,352,640,61,61,364,660,157,718,549,810
+,926,128,499,238,324,571,807,660,774,355
+,1121,913,449,750,197,21,705,386,366,741
+,1024,256,920,40,496,723,448,572,301,555
+,949,501,194,580,191,556,356,331,749,479
+,595,888,851,613,936,881,567,164,70,543
+,1475,460,302,839,269,554,375,464,0,794
+,1444,518,388,751,189,904,19,634,877,372
+,830,635,244,328,738,64,674,990,551,838
+,226,194,536,699,509,784,564,157,627,289
+,301,419,656,329,113,98,535,674,68,44
+,1362,960,132,182,894,32,206,109,497,196
+,17,32,584,657,856,397,673,501,538,638
+,458,604,262,50,375,226,620,735,72,13
+,502,943,213,671,503,950,911,852,81,479
+,661,654,62,369,571,761,960,911,425,841
+,1270,813,725,59,843,631,272,541,41,751
+,246,854,311,79,967,221,983,531,99,103
+,568,236,544,394,194,197,538,672,254,583
+,1151,970,183,571,767,571,425,764,108,784
+,1129,590,366,690,469,719,681,437,904,106
+,1290,811,184,563,411,516,345,673,161,546
+,87,453,955,360,924,322,563,332,865,380
+,195,782,648,440,845,743,331,623,246,576
+,529,219,384,784,563,948,762,260,368,984
+,10,458,982,406,0,743,35,291,610,16
+,1428,138,911,309,6,307,227,219,876,322
+,282,790,841,965,706,842,282,941,566,523
+,610,584,948,585,158,96,38,471,364,159
+,286,271,375,910,596,255,238,262,830,307
+,348,584,409,582,939,222,751,79,740,332
+,264,494,177,499,845,920,706,719,590,839
+,363,97,609,657,307,38,748,827,590,390
+,1337,798,57,943,789,342,356,900,836,444
+,1252,952,888,123,890,788,232,765,668,869
+,999,950,11,649,796,647,391,55,312,536
+,1091,326,552,578,153,334,514,714,226,156
+,957,689,749,402,994,456,770,609,589,516
+,1031,227,442,296,805,403,151,135,344,84
+,1240,585,763,50,561,408,268,87,408,513
+,802,792,714,133,780,138,492,572,202,499
+,1259,667,585,200,574,630,753,536,252,248
+,624,272,795,440,331,701,946,589,91,115
+,1381,423,433,374,356,195,328,352,608,671
+,1427,788,312,173,358,631,841,822,452,638
+,955,451,45,946,837,239,204,701,382,159
+,461,745,873,87,115,757,55,248,971,635
+,1383,151,889,852,839,294,14,351,710,823
+,1450,312,460,482,23,339,214,757,550,216
+,251,559,535,768,264,561,494,637,747,144
+,1115,715,684,18,385,596,927,679,539,44
+,274,174,61,290,205,808,713,632,277,54
+,749,670,967,8,68,397,676,277,678,872
+,984,675,368,885,110,19,299,888,904,664
+,851,236,389,520,1000,726,101,925,323,496
+,495,611,544,90,190,203,512,989,468,574
+,848,729,22,40,253,944,542,312,341,501
+,1389,762,160,18,355,700,360,363,640,309
+,276,513,282,831,63,640,263,899,396,911
+,666,30,966,568,971,286,230,155,349,918
+,1057,672,140,89,747,391,533,983,694,627
+,941,640,702,232,427,246,586,156,436,993
+,1284,931,619,337,459,555,134,211,668,141
+,803,554,700,819,207,883,141,316,705,722
+,470,536,931,138,440,930,999,788,148,671
+,650,578,939,161,325,69,570,545,971,736
+,370,188,325,859,900,149,744,30,783,326
+,443,996,423,984,421,310,453,763,956,841
+,108,652,955,756,280,155,797,192,109,134
+,1411,26,780,626,631,273,620,580,627,236
+,1238,237,236,703,26,367,81,704,798,488
+,12,514,866,619,480,729,665,382,188,872
+,349,503,485,140,167,197,231,33,418,782
+,1323,15,947,276,973,422,227,760,687,207
+,518,209,67,181,949,977,449,887,631,501
+,862,332,887,468,908,252,437,414,794,42
+,379,752,844,389,737,320,403,626,961,760
+,677,608,549,537,656,896,721,805,39,533
+,1208,462,467,846,898,43,898,251,531,550
+,545,752,40,571,396,528,783,645,985,50
+,355,298,450,407,905,311,792,847,292,472
+,42,432,301,627,941,55,706,529,925,145
+,579,849,661,462,92,739,512,115,184,797
+,123,960,915,712,559,138,402,423,331,461
+,1167,183,464,604,918,729,917,206,903,465
+,700,256,331,708,664,928,728,815,167,735
+,1020,126,93,116,723,460,649,371,87,536
+,959,393,744,810,998,523,626,972,163,387
+,1124,389,44,786,174,934,343,579,892,675
+,248,153,166,889,148,183,787,729,52,429
+,1231,316,747,787,984,456,295,641,185,120
+,1051,134,983,207,3,637,783,259,12,469
+,1219,875,510,556,826,5,622,903,505,243
+,77,602,675,487,464,419,452,81,615,614
+,1376,250,903,560,284,634,643,570,839,845
+,1351,50,189,151,56,668,357,37,148,874
+,406,683,591,858,617,305,339,942,89,50
+,384,426,182,165,688,291,625,676,708,716
+,693,586,806,575,181,989,466,767,592,368
+,857,36,95,786,306,330,377,919,388,839
+,319,776,437,863,563,66,299,482,137,124
+,26,880,281,337,539,423,537,214,712,214
+,1433,59,111,585,747,644,541,89,495,741
+,1250,619,956,807,723,294,437,623,868,324
+,1283,538,588,638,362,949,132,629,576,508
+,1179,746,647,509,504,827,184,904,624,238
+,774,297,198,1,121,24,476,640,815,120
+,960,868,212,818,630,424,423,46,341,358
+,1009,825,652,217,11,655,206,706,288,260
+,620,69,315,307,518,563,331,785,6,116
+,171,341,349,405,741,582,630,983,29,852
+,377,198,338,853,346,944,688,490,938,485
+,1307,36,661,139,493,159,642,471,913,885
+,1074,917,343,473,802,833,423,950,760,57
+,1006,533,306,578,742,694,323,568,548,19
+,1245,591,701,339,818,938,909,814,362,67
+,1343,152,287,860,31,347,384,641,547,862
+,1198,584,620,398,191,609,119,885,801,769
+,685,722,878,322,726,32,278,423,88,508
+,1126,243,380,462,849,973,309,221,537,309
+,129,114,383,803,38,796,206,935,94,454
+,894,25,818,494,926,512,157,194,348,945
+,1377,750,894,536,317,794,335,146,787,892
+,636,841,960,528,692,135,210,741,37,470
+,1472,730,885,534,118,4,318,954,45,703
+,1160,608,892,89,341,478,910,47,105,533
+,903,674,763,319,23,591,776,319,654,913
+,31,328,205,197,293,283,545,326,791,451
+,772,120,279,152,161,280,117,15,981,637
+,41,526,104,211,555,358,562,326,277,144
+,667,721,823,290,587,250,175,72,318,627
+,70,346,553,454,51,133,29,482,924,691
+,665,108,392,55,88,436,401,183,721,610
+,1111,606,644,856,706,716,456,631,364,319
+,358,837,202,730,776,686,828,546,80,997
+,53,773,782,476,581,134,95,832,821,941
+,1407,479,99,466,317,700,659,727,784,476
+,767,237,970,229,147,881,917,631,264,934
+,1146,401,187,716,939,681,338,807,881,903
+,1185,464,499,30,66,486,115,359,490,472
+,83,174,289,786,356,618,588,130,520,105
+,258,837,731,815,109,333,569,665,72,811
+,1131,545,472,410,604,423,244,635,249,561
+,770,997,493,393,67,348,213,833,710,605
+,284,803,445,580,806,350,557,710,241,177
+,809,685,79,757,953,728,587,856,498,117
+,779,610,474,333,568,99,841,455,180,315
+,345,415,71,612,111,701,833,610,789,839
+,1410,335,506,660,676,62,92,222,836,142
+,465,594,924,773,651,829,0,775,150,676
+,216,463,544,298,399,630,591,457,200,210
+,335,898,324,306,583,813,935,695,311,940
+,1469,959,445,735,937,352,91,596,8,626
+,266,413,867,130,872,301,63,378,922,562
+,1439,54,0,720,573,840,367,112,881,288
+,1369,31,240,442,719,604,403,640,325,728
+,472,415,390,445,558,216,678,177,486,142
+,1275,568,393,863,946,368,860,427,157,295
+,1267,686,128,137,11,73,663,16,147,738
+,658,498,673,447,998,139,86,140,657,825
+,1380,880,466,915,807,712,618,952,435,638
+,1449,465,521,434,565,839,460,393,363,231
+,1060,434,619,7,591,510,867,748,242,729
+,1132,275,420,948,559,590,375,34,38,581
+,606,721,377,115,594,493,984,707,81,145
+,1190,748,539,879,768,797,286,476,529,80
+,27,911,624,90,251,483,645,759,679,983
+,1144,79,700,648,552,817,593,319,627,54
+,637,351,547,797,11,480,464,524,927,480
+,1361,751,339,431,361,983,817,301,296,171
+,478,711,945,611,767,311,744,803,577,266
+,169,644,484,592,173,586,52,672,298,828
+,1374,639,27,293,496,84,129,517,78,871
+,414,284,258,135,630,287,281,878,263,14
+,1295,114,618,178,931,605,756,154,674,457
+,695,827,179,267,801,717,241,496,185,818
+,684,882,33,351,86,990,148,609,956,841
+,344,857,507,770,422,788,392,243,676,450
+,863,652,171,215,591,751,862,353,55,657
+,29,773,839,118,53,171,475,408,487,308
+,1261,764,971,770,944,545,239,388,699,722
+,446,485,268,148,543,891,445,12,295,949
+,279,459,391,694,323,984,542,699,978,42
+,1075,939,544,652,362,979,864,442,625,940
+,499,878,279,343,276,273,821,100,261,670
+,225,400,472,791,691,767,247,751,688,602
+,617,199,532,345,693,706,184,320,560,10
+,819,8,851,69,12,421,100,537,106,701
+,559,359,224,742,290,257,197,34,24,634
+,752,58,961,608,672,915,855,222,973,613
+,1329,124,725,980,122,88,876,619,133,384
+,551,782,921,663,579,822,990,189,917,113
+,1421,188,259,301,478,676,958,77,654,464
+,399,283,787,437,708,925,683,788,788,331
+,771,165,799,75,283,795,63,391,397,340
+,1109,264,978,832,271,182,451,71,503,950
+,360,624,402,182,660,503,111,147,553,787
+,1390,223,628,658,108,934,452,732,265,105
+,1171,74,72,585,745,256,795,456,19,918
+,1045,152,668,655,0,955,38,680,399,272
+,962,716,337,926,400,588,3,527,724,962
+,1302,502,489,446,413,864,745,799,831,804
+,20,553,231,3,393,977,705,837,798,493
+,1386,580,548,957,367,341,698,310,410,56
+,598,981,662,92,374,547,873,983,348,82
+,1235,470,778,784,296,663,207,180,567,40
+,398,393,676,195,306,712,399,917,109,645
+,1241,367,498,86,906,647,448,752,194,143
+,852,197,25,737,607,244,500,398,64,811
+,211,658,315,511,546,988,854,831,460,989
+,63,37,347,57,345,806,738,43,415,121
+,425,826,669,683,535,469,962,694,891,895
+,477,152,758,593,238,947,73,37,753,144
+,555,669,19,482,928,940,633,46,248,718
+,1304,133,14,176,647,51,926,314,840,812
+,417,467,625,174,855,605,65,837,837,108
+,965,509,609,818,630,225,64,823,207,436
+,1418,830,855,755,694,411,332,123,999,700
+,1136,558,140,329,856,987,812,218,782,46
+,723,177,343,64,123,280,144,775,425,172
+,156,378,566,168,449,249,947,595,41,136
+,710,810,867,647,627,385,796,161,16,900
+,1026,82,6,7,183,948,91,723,667,607
+,1048,290,426,710,826,811,791,487,708,129
+,1201,146,655,277,535,461,421,244,960,178
+,1406,708,38,610,184,734,511,626,973,90
+,82,846,801,308,356,428,4,571,241,196
+,553,542,1000,97,633,370,883,779,552,519
+,1364,475,788,641,675,213,283,54,198,115
+,986,152,701,864,991,933,485,509,180,163
+,278,944,44,55,660,372,291,214,445,257
+,981,631,824,911,776,464,44,106,758,53
+,1491,550,180,161,804,29,496,527,118,72
+,730,240,738,455,606,593,333,429,203,765
+,1079,919,333,235,797,112,333,233,100,242
+,450,422,890,204,384,912,225,75,482,599
+,281,55,911,446,148,221,950,624,465,182
+,244,382,139,468,737,198,647,367,998,276
+,641,343,130,32,708,582,61,287,139,113
+,496,476,469,428,175,778,351,225,907,302
+,533,160,808,813,653,975,626,927,174,591
+,796,566,875,235,88,421,877,534,500,882
+,784,605,484,857,473,285,14,747,438,753
+,1420,252,253,335,444,593,227,913,949,605
+,652,152,935,587,919,5,427,45,41,481
+,860,787,516,34,435,543,403,490,829,817
+,253,841,100,463,507,246,85,571,771,12
+,997,749,416,972,223,135,367,302,244,663
+,265,16,491,685,312,165,720,470,878,584
+,1288,597,24,999,465,474,790,141,895,720
+,971,189,808,892,379,641,475,720,648,1
+,1255,642,72,394,914,707,340,543,33,303
+,761,770,276,714,968,627,555,589,813,212
+,162,701,82,635,901,343,753,954,56,527
+,1071,931,690,372,909,52,113,392,374,476
+,1018,41,374,375,179,663,572,721,68,574
+,850,792,209,141,342,244,552,116,664,489
+,1177,961,770,594,892,982,719,214,771,762
+,516,230,328,361,919,273,515,696,433,283
+,913,64,381,353,463,497,513,539,849,125
+,736,726,544,694,845,545,921,299,462,635
+,834,819,689,968,709,828,963,904,67,192
+,627,905,468,89,82,400,919,183,295,981
+,453,78,111,168,282,114,713,151,508,154
+,912,209,533,974,642,23,300,426,992,698
+,773,954,135,485,355,430,454,755,660,21
+,324,193,64,22,892,821,237,854,970,532
+,609,343,421,592,351,671,661,805,334,497
+,572,681,713,542,862,561,455,468,311,580
+,1055,919,808,313,175,808,266,232,495,380
+,1118,295,788,865,48,151,361,291,466,979
+,937,633,946,164,728,548,292,186,996,179
+,820,725,709,926,682,813,157,165,243,119
+,136,324,588,129,451,266,378,188,210,575
+,467,35,681,324,352,151,381,459,552,998
+,1200,546,308,124,942,25,414,953,511,786
+,868,970,469,950,327,159,4,993,756,559
+,1481,519,339,662,722,302,485,917,296,992
+,1066,772,587,682,150,818,578,746,928,944
+,1497,346,705,115,749,490,921,41,142,694
+,475,119,315,25,411,632,861,225,456,365
+,530,334,56,622,656,199,597,539,227,800
+,712,785,284,200,23,85,551,869,456,693
+,823,980,89,999,524,403,199,502,325,617
+,180,523,966,57,930,682,369,407,151,733
+,1367,437,378,395,381,12,291,353,359,315
+,1391,456,895,574,89,220,745,909,454,759
+,797,822,453,295,167,825,745,993,919,434
+,109,917,424,142,855,601,612,88,147,212
+,906,486,888,537,343,67,955,983,604,774
+,1046,90,6,419,654,936,279,424,179,569
+,881,727,581,773,936,140,204,190,852,390
+,768,567,502,43,842,846,309,854,599,311
+,914,572,757,474,229,27,810,2,157,268
+,5,978,655,854,651,483,127,669,681,914
+,1453,427,183,503,928,704,660,250,29,122
+,671,283,504,993,68,613,763,370,595,492
+,151,446,889,264,643,702,487,997,710,837
+,249,382,524,750,589,17,865,265,166,595
+,409,149,327,472,899,709,138,365,167,54
+,506,369,429,651,933,978,364,49,296,298
+,1438,654,958,78,526,198,784,643,187,783
+,713,613,770,171,556,330,893,323,846,865
+,1454,819,308,277,701,714,704,371,98,547
+,199,360,843,147,13,140,530,288,381,797
+,589,421,348,943,932,166,104,223,158,515
+,1392,851,192,814,918,572,628,706,851,975
+,1480,866,544,729,564,719,774,821,116,427
+,424,938,78,119,838,134,945,17,491,356
+,1072,707,371,142,836,452,911,611,535,781
+,74,350,176,726,311,29,762,834,121,227
+,786,877,710,145,704,232,314,128,214,133
+,870,435,707,781,802,114,79,19,793,495
+,1073,441,43,201,110,33,812,675,525,607
+,486,480,121,930,259,44,67,308,683,10
+,250,98,801,126,942,616,210,601,922,204
+,47,686,359,29,92,149,866,764,964,284
+,25,593,356,360,164,875,512,799,746,627
+,1159,517,583,69,101,839,592,781,14,541
+,203,732,196,987,288,175,923,772,550,4
+,825,742,101,946,219,942,516,871,724,486
+,230,714,603,189,450,689,980,109,185,854
+,1207,388,434,219,526,233,417,115,779,321
+,688,477,112,532,139,507,780,369,721,295
+,240,739,41,84,335,505,118,394,290,467
+,769,753,319,703,999,861,454,231,567,417
+,974,875,438,193,877,71,916,861,821,487
+,838,695,376,183,13,690,503,688,107,405
+,95,535,674,692,87,122,146,404,410,711
+,343,104,759,947,913,172,66,372,998,203
+,634,205,609,864,413,125,238,858,434,742
+,648,285,783,730,784,595,607,279,774,808
+,679,659,965,409,364,487,682,617,972,414
+,527,523,285,150,786,465,110,125,256,501
+,290,236,643,965,137,30,101,755,54,850
+,86,510,694,27,995,183,391,619,695,334
+,674,310,636,638,98,778,78,676,769,532
+,173,504,811,477,206,300,677,509,502,516
+,753,555,351,828,880,553,559,18,975,782
+,815,440,901,936,121,392,460,322,873,385
+,982,470,36,33,181,570,675,881,798,310
+,922,723,168,503,441,137,319,732,398,499
+,812,112,582,691,502,675,567,701,552,585
+,1092,487,575,874,160,518,57,400,269,506
+,523,994,386,631,692,361,784,291,328,62
+,218,604,46,131,857,375,357,828,759,597
+,691,783,912,640,349,389,99,438,353,365
+,1005,359,57,677,250,253,240,663,319,606
+,452,932,704,67,889,312,117,345,173,20
+,1431,333,38,471,673,884,432,581,527,923
+,329,273,20,712,480,602,22,324,386,584
+,670,330,586,100,827,500,102,707,691,210
+,621,508,514,830,783,683,347,170,629,306
+,593,992,446,206,508,650,867,997,806,77
+,804,870,548,219,294,271,48,304,587,411
+,1460,231,639,760,980,94,734,864,592,97
+,215,344,279,68,580,820,543,486,437,214
+,293,814,78,667,843,309,516,823,307,443
+,311,552,320,204,424,411,257,639,527,464
+,0,781,560,184,902,19,642,720,528,883
+,853,590,511,218,676,985,843,760,960,478
+,561,959,653,545,828,629,873,787,928,444
+,415,579,744,641,61,534,205,373,473,151
+,308,154,764,701,783,307,864,445,420,326
+,582,850,933,65,649,208,866,422,273,843
+,630,661,164,262,703,615,241,415,244,116
+,356,196,28,251,816,847,317,475,497,573
+,1216,432,662,927,37,206,163,279,139,29
+,861,808,822,284,674,563,180,659,872,43
+,1243,739,497,801,20,56,880,918,85,321
+,260,305,887,65,922,978,416,918,372,687
+,605,906,92,406,965,859,741,862,143,241
+,1332,584,752,512,955,123,534,680,848,594
+,668,793,953,537,257,508,905,92,243,614
+,836,791,826,320,337,852,598,754,399,825
+,633,761,241,957,433,223,147,109,179,219
+,615,281,450,418,260,883,603,57,502,546
+,1447,716,971,115,324,558,433,486,699,252
+,1050,284,900,803,959,148,371,486,732,376
+,1273,315,21,660,990,926,620,35,861,757
+,143,818,963,55,707,939,807,687,245,259
+,883,393,316,654,981,717,371,924,831,701
